id,name,coingecko_asset_platform_id
blast,Blast,blast
areon-network,Areum Network,areon-network
map-protocol,MAP Protocol,map-protocol
fraxtal,Fraxtal,fraxtal
omax-chain,Omax Chain,omax
zora-network,Zora,zora-network
inevm,inEVM,inevm
bvm-nakachain,BVM NakaChain,
graphlinq-chain,GraphLinq Chain,graphlinq-chain
qitmeer-network,Qitmeer Network,
bevm,BEVM,bevm
rss3-vsl-mainnet,RSS3 VSL Mainnet,rss3-vsl
degenchain,Degen Chain,degen
bahamut-mainnet,Bahamut Mainnet,bahamut
chiliz-chain,Chiliz Chain,chiliz
lukso,Lukso,lukso
ancient8,Ancient8,ancient8
x-layer,x Layer,x-layer
bsquared-network,BSquared Network,bsquared-network
bitlayer,Bitlayer,bitlayer
bob-network,BOB Network,bob-network
redstone,Redstone,redstone
cyber,Cyber,cyber
octaspace,OctaSpace,octaspace
zklink-nova,zkLink Nova,zklink-nova
bouncebit,BounceBit,bouncebit
zedxion-smart-chain,Zedxion Smart Chain,zedxion
genesys-network,Genesys Network,genesys-network
taiko,Taiko,taiko
sanko-mainnet,Sanko,sanko
onchain,OnChain,
jib-chain,JB Chain,jibchain
sei-evm,Sei V2,sei-v2
saakuru-mainnet,Saakuru,saakuru
larissa-mainnet,Larissa,larissa
boba-bnb,Boba BNB,boba-bnb
haqq-network,Haqq Network,haqq-network
ham,Ham,ham
rootstock,Rootstock,rootstock
endurance,Endurance,endurance
iota-evm,IOTA EVM,iota-evm
alienx,AlienX,alienx
etherlink,Etherlink,etherlink
skale-europa,SKALE Europa,skale
rari,Rari,rari
nahmii,Nahmii,nahmii
bomechain,BomeChain,
zircuit,Zircuit,zircuit
cronos-zkevm,Cronos zkEVM,cronos-zkevm
q-mainnet,Q Mainnet,q-mainnet
gravity-alpha,Gravity,gravity-alpha
tron,Tron,tron
mint,Mint,mint
swanchain,Swanchain,
flow-evm,Flow EVM,flow-evm
canxium,Canxium,
shape,Shape,
world-chain,World Chain,world-chain
apechain,ApeChain,apechain
morph-l2,Morph L2,morph-l2
cardano,Cardano,cardano
icp,Internet Computer,internet-computer
defiverse,DefiVerse,defiverse
planq,Planq,planq-network
zero-network,Zero Network,zero-network
ql1,QL1,ql1
duckchain,DuckChain,duckchain
vanarchain,Vanar Chain,vanar-chain
eclipse,Eclipse,eclipse
airdao,AirDAO,airdao
units-network,Units Network,units-network
zilliqa-evm,Zilliqa EVM,zilliqa EVM
sonic,Sonic,sonic
ink,Ink,ink
vana,Vana,vana
electroneum,Electroneum,electroneum
funki,Funki,funki
matchain,Matchain,
swellchain,Swellchain,swellchain
soneium,Soneium,soneium
lisk,Lisk,lisk
educhain,EDU Chain,edu-chain
xrpl,XRPL,xrp
ao,AO,
shido-network,Shido Network,shido
abstract,Abstract,abstract
artela,Artela,
parex,Parex,parex-network
berachain,Berachain,berachain
treasure,Treasure,
taraxa,Taraxa,taraxa
unichain,Unichain,unichain
story,Story,story
hela,Hela,hela
hyperevm,HyperEVM,hyperevm
corn,Corn,corn
hyperliquid,Hyperliquid,hyperliquid
pundi-aifx-omnilayer,Pundi AIFX Omnilayer,pundi-aifx-omnilayer
movement,Movement,movement
form-network,Form Network,
saga,Saga,saga
superseed,Superseed,superseed
shine-chain,Shine Chain,
sx-rollup,SX Rollup,sx-rollup
goat,Goat,goat
sonic-svm,Sonic SVM,sonic-svm
superposition,Superposition,
lens,Lens,
plume-network,Plume Network,plume-network
hemi,Hemi,hemi
sophon,Sophon,sophon
bittensor,Bittensor,bittensor
tokchain,Tokchain,
mantra,Mantra,mantra
bitcichain,Bitcichain,
haven1,Haven1,haven1
initia,Initia,initia
pepe-unchained,Pepe Unchained,
wax,WAX,wax
hydra-chain,Hydra Chain,hydra
katana,Katana,katana
opengpu,OpenGPU,
redbelly-network,Redbelly Network,redbelly-network
botanix,Botanix,botanix
quai-network,Quai Network,quai-network
glue,Glue,glue
near,Near,near-protocol
xrpl-evm,XRPL EVM,
tac,TAC,tac
memecore,MemeCore,memecore
mezo,Mezo,mezo
hashkey,Hashkey,hashkey-chain
peaq,Peaq,peaq
camp-network,Camp Network,
somnia,Somnia,somnia
besc-hyperchain,BESC HyperChain,besc-hyperchain
mitosis,Mitosis,
nibiru,Nibiru,
xone,Xone,xone
plasma,Plasma,plasma
0g,0G,0g
juchain,JuChain,
gate-layer,Gate Layer,
kasplex,Kasplex,
chromia,Chromia,
injective,Injective,injective
mova,Mova,
monad,Monad,monad
blocx,BlocX,
layeronex,LayerOneX,
stellar,Stellar,stellar
fuel,Fuel,fuel-ignition
coti,Coti,coti
hydration,Hydration,hydration
mantra-evm,Mantra EVM,mantra-evm
eni,ENI,eni
krown-network,Krown Network,krown-network
